TOWNCODE,COUNTYNAME,TOWNNAME,year,month,T2M,T2M_MIN,T2M_MAX,ALLSKY_SFC_SW_DWN,RH2M,TS,WS10M,PS
09007010,連江縣,南竿鄉,2013,1,11.64,7.17,16.66,2.3105,83.18,12.79,7.49,102.1
09007010,連江縣,南竿鄉,2013,2,12.45,7.06,17.75,2.0546,88.78,13.27,6.99,101.89
09007010,連江縣,南竿鄉,2013,3,14.09,7.3,20.21,3.7836,85.92,14.32,5.8,101.53
09007010,連江縣,南竿鄉,2013,4,17.31,13.62,22.1,3.707,86.1,17.31,5.15,101.14
09007010,連江縣,南竿鄉,2013,5,22.03,16.09,26.4,3.8186,92.83,21.5,4.63,100.7
09007010,連江縣,南竿鄉,2013,6,25.59,22.48,28.21,4.3702,92.52,25.39,5.28,100.37
09007010,連江縣,南竿鄉,2013,7,27.26,25.76,29.16,6.2246,89.0,26.85,5.06,100.5
09007010,連江縣,南竿鄉,2013,8,27.63,24.8,29.88,5.3803,89.31,27.4,4.68,100.29
09007010,連江縣,南竿鄉,2013,9,26.51,23.68,28.26,4.6406,81.8,26.67,7.07,100.82
09007010,連江縣,南竿鄉,2013,10,23.1,17.67,27.21,4.5833,76.81,24.0,8.16,101.3
09007010,連江縣,南竿鄉,2013,11,19.01,12.2,23.43,2.8639,78.64,20.1,7.29,101.77
09007010,連江縣,南竿鄉,2013,12,13.98,7.69,20.2,2.5366,74.4,16.17,7.82,101.96
09007010,連江縣,南竿鄉,2014,1,12.14,7.77,16.75,3.3161,80.42,12.86,6.47,102.12
09007010,連江縣,南竿鄉,2014,2,11.48,5.64,16.71,2.5469,86.82,12.82,6.76,101.79
09007010,連江縣,南竿鄉,2014,3,13.75,9.57,20.01,3.1399,86.47,13.67,6.03,101.68
09007010,連江縣,南竿鄉,2014,4,17.58,13.74,21.78,3.6766,89.28,17.58,4.85,101.25
09007010,連江縣,南竿鄉,2014,5,21.66,16.33,25.82,3.4634,92.01,21.51,4.41,100.81
09007010,連江縣,南竿鄉,2014,6,25.28,23.0,28.05,4.5118,92.67,25.08,5.27,100.24
09007010,連江縣,南竿鄉,2014,7,28.21,26.88,30.25,5.9774,89.96,27.88,5.37,100.27
09007010,連江縣,南竿鄉,2014,8,28.33,26.77,31.03,5.2361,87.63,28.33,4.18,100.39
09007010,連江縣,南竿鄉,2014,9,27.81,24.0,30.29,4.4268,84.51,28.09,5.23,100.66
09007010,連江縣,南竿鄉,2014,10,23.14,20.98,26.44,4.277,78.46,23.88,7.0,101.39
09007010,連江縣,南竿鄉,2014,11,19.61,15.88,23.88,2.3868,82.9,20.49,6.96,101.67
09007010,連江縣,南竿鄉,2014,12,14.14,9.32,17.74,2.6878,73.31,16.48,8.12,102.22
09007010,連江縣,南竿鄉,2015,1,12.5,8.3,16.56,2.8469,78.91,13.66,7.02,102.15
09007010,連江縣,南竿鄉,2015,2,12.14,7.33,16.15,2.7953,84.31,12.83,5.98,101.92
09007010,連江縣,南竿鄉,2015,3,13.84,9.62,19.8,2.8711,87.87,14.38,5.89,101.77
09007010,連江縣,南竿鄉,2015,4,17.95,11.8,23.18,4.1808,87.01,18.0,5.61,101.28
09007010,連江縣,南竿鄉,2015,5,22.09,18.06,25.95,3.6514,90.37,21.99,5.13,100.69
09007010,連江縣,南竿鄉,2015,6,26.09,22.06,28.32,4.9908,92.67,25.63,5.47,100.44
09007010,連江縣,南竿鄉,2015,7,26.77,24.35,29.06,4.4755,90.84,26.42,6.24,100.19
09007010,連江縣,南竿鄉,2015,8,26.95,24.47,28.65,4.5574,89.35,26.95,5.85,100.31
09007010,連江縣,南竿鄉,2015,9,25.98,24.08,28.71,3.4099,83.4,26.52,6.07,100.83
09007010,連江縣,南竿鄉,2015,10,23.46,19.72,27.54,3.2088,82.26,23.97,7.1,101.39
09007010,連江縣,南竿鄉,2015,11,20.4,13.12,24.64,2.2639,86.74,21.35,6.62,101.72
09007010,連江縣,南竿鄉,2015,12,15.15,9.1,20.01,1.6644,82.18,16.72,7.96,102.1
09007010,連江縣,南竿鄉,2016,1,12.08,3.2,16.95,1.6968,84.37,13.67,6.89,102.1
09007010,連江縣,南竿鄉,2016,2,11.48,5.75,17.71,2.9172,80.31,12.52,6.98,102.23
09007010,連江縣,南竿鄉,2016,3,13.21,6.77,17.45,3.2638,84.32,13.8,5.63,101.75
09007010,連江縣,南竿鄉,2016,4,17.62,13.88,22.62,3.0734,93.17,17.14,4.39,101.03
09007010,連江縣,南竿鄉,2016,5,22.62,18.49,27.04,4.1554,91.84,22.36,4.56,100.81
09007010,連江縣,南竿鄉,2016,6,26.67,23.51,29.21,4.4398,92.23,26.32,4.86,100.48
09007010,連江縣,南竿鄉,2016,7,27.88,26.36,29.64,5.7646,91.21,27.45,5.54,100.4
09007010,連江縣,南竿鄉,2016,8,28.67,25.36,30.6,5.1067,83.43,28.75,4.14,100.17
09007010,連江縣,南竿鄉,2016,9,26.92,24.95,29.62,3.833,85.18,27.3,6.66,100.54
09007010,連江縣,南竿鄉,2016,10,24.57,20.27,27.4,2.664,88.58,24.96,7.4,101.08
09007010,連江縣,南竿鄉,2016,11,20.03,13.43,23.66,2.2152,84.3,21.46,7.1,101.7
09007010,連江縣,南竿鄉,2016,12,16.19,9.91,19.65,2.5231,82.11,17.45,7.86,101.99
09007010,連江縣,南竿鄉,2017,1,13.61,9.96,17.84,2.3074,83.75,14.69,7.4,102.06
09007010,連江縣,南竿鄉,2017,2,12.23,7.24,17.22,3.3564,81.55,13.41,7.15,102.1
09007010,連江縣,南竿鄉,2017,3,13.61,9.94,16.59,2.7684,85.06,14.09,5.69,101.64
09007010,連江縣,南竿鄉,2017,4,18.56,11.27,22.73,4.4035,84.16,18.19,4.61,101.16
09007010,連江縣,南竿鄉,2017,5,22.45,19.23,25.92,4.3447,88.26,22.28,4.45,100.9
09007010,連江縣,南竿鄉,2017,6,25.46,22.51,28.16,3.5498,92.63,25.39,5.63,100.45
09007010,連江縣,南竿鄉,2017,7,28.07,25.93,29.83,6.2705,89.14,27.75,4.43,100.5
09007010,連江縣,南竿鄉,2017,8,28.1,26.94,29.55,5.7991,90.68,27.78,5.12,100.39
09007010,連江縣,南竿鄉,2017,9,27.78,25.51,31.1,4.8852,84.2,28.01,4.77,100.73
09007010,連江縣,南竿鄉,2017,10,23.98,17.97,29.31,3.761,80.28,25.02,8.92,101.3
09007010,連江縣,南竿鄉,2017,11,19.09,14.36,22.73,2.1931,84.04,20.31,8.18,101.7
09007010,連江縣,南竿鄉,2017,12,14.3,8.77,17.84,2.5171,76.76,15.9,8.87,102.14
09007010,連江縣,南竿鄉,2018,1,12.21,6.24,16.73,2.0352,83.92,13.58,7.66,101.91
09007010,連江縣,南竿鄉,2018,2,10.88,6.53,17.53,2.8771,81.61,12.05,7.01,101.99
09007010,連江縣,南竿鄉,2018,3,14.48,9.85,19.93,4.1227,87.27,14.36,5.24,101.56
09007010,連江縣,南竿鄉,2018,4,19.08,14.43,23.0,4.2312,85.37,18.83,4.15,101.26
09007010,連江縣,南竿鄉,2018,5,24.02,18.61,27.45,4.909,88.55,23.88,4.84,100.81
09007010,連江縣,南竿鄉,2018,6,25.64,22.25,28.73,4.6279,89.07,25.75,5.55,100.35
09007010,連江縣,南竿鄉,2018,7,27.68,26.21,30.03,5.4391,89.99,27.46,5.12,100.17
09007010,連江縣,南竿鄉,2018,8,28.39,26.18,30.24,5.0302,86.39,28.54,4.44,100.0
09007010,連江縣,南竿鄉,2018,9,26.7,23.76,28.86,4.6891,85.81,26.99,6.36,100.74
09007010,連江縣,南竿鄉,2018,10,22.48,19.52,27.04,3.611,76.55,23.58,7.28,101.47
09007010,連江縣,南竿鄉,2018,11,19.69,16.5,23.78,2.0256,85.58,20.58,6.98,101.7
09007010,連江縣,南竿鄉,2018,12,15.39,7.98,21.43,1.968,85.33,17.34,8.21,102.06
09007010,連江縣,南竿鄉,2019,1,13.03,9.32,18.85,2.2817,83.29,14.1,7.46,102.18
09007010,連江縣,南竿鄉,2019,2,12.9,9.55,19.04,1.801,87.98,14.37,6.54,101.9
09007010,連江縣,南竿鄉,2019,3,14.41,10.47,19.69,3.0338,88.22,14.52,5.69,101.52
09007010,連江縣,南竿鄉,2019,4,18.18,12.35,23.43,3.3461,91.03,17.84,4.8,101.08
09007010,連江縣,南竿鄉,2019,5,21.2,17.6,24.62,3.8472,87.3,21.06,4.84,100.85
09007010,連江縣,南竿鄉,2019,6,25.26,22.03,28.25,3.8827,92.1,25.14,4.66,100.33
09007010,連江縣,南竿鄉,2019,7,27.61,26.3,29.15,4.7297,92.78,27.12,5.61,100.2
09007010,連江縣,南竿鄉,2019,8,28.32,26.47,31.65,5.1458,89.01,28.13,5.6,100.07
09007010,連江縣,南竿鄉,2019,9,26.91,23.44,29.68,5.3254,80.19,27.41,6.76,100.79
09007010,連江縣,南竿鄉,2019,10,23.68,20.29,28.88,3.8182,79.57,24.56,6.91,101.39
09007010,連江縣,南竿鄉,2019,11,19.53,13.87,22.43,3.365,79.51,20.72,8.23,101.72
09007010,連江縣,南竿鄉,2019,12,15.15,11.38,19.94,2.6544,82.27,16.58,7.48,102.04
09007010,連江縣,南竿鄉,2020,1,13.67,9.9,19.1,2.502,82.52,14.87,6.32,101.93
