TOWNCODE,COUNTYNAME,TOWNNAME,average_household_size,housing_unit_median_value,occupancy_owner_rate,housing_unit_median_value_公寓,housing_unit_median_value_別墅,housing_unit_median_value_套房,housing_unit_median_value_樓中樓,housing_unit_median_value_透天厝,housing_unit_median_value_電梯大廈
9007010,連江縣,南竿鄉,5.946979166666667,,0.7201897018970189,,,,,,
9007020,連江縣,北竿鄉,6.0703125,,0.7,,,,,,
9007030,連江縣,莒光鄉,6.2488020833333335,,0.7839506172839507,,,,,,
9007040,連江縣,東引鄉,5.234947916666666,,0.5134099616858238,,,,,,
9020010,金門縣,金城鎮,6.842083333333333,20.1215,0.7989391679098292,,,,,,17.36
9020020,金門縣,金沙鎮,6.718697916666667,20.1215,0.8790627362055934,,,,,,
9020030,金門縣,金湖鎮,6.55265625,20.1215,0.7774725274725275,,,,,17.96,22.293333333333333
9020040,金門縣,金寧鄉,7.401875,20.1215,0.751145038167939,,,,,,24.759999999999998
9020050,金門縣,烈嶼鄉,8.771770833333333,20.1215,0.7858565737051793,,,,,,
9020060,金門縣,烏坵鄉,8.732291666666667,20.1215,0.8333333333333334,,,,,,
10002010,宜蘭縣,宜蘭市,3.15234375,15.742058823529412,0.8352170764726253,12.978627450980392,,,,18.774117647058826,14.7025
10002020,宜蘭縣,羅東鎮,3.415885416666667,15.742058823529412,0.7904135755852695,13.997239583333334,,,,19.6509375,15.851813725490198
10002030,宜蘭縣,蘇澳鎮,3.4902604166666666,15.742058823529412,0.8481326382360482,16.61,,,,10.950064102564102,
10002040,宜蘭縣,頭城鎮,3.7048958333333335,15.742058823529412,0.8426115185764098,,,,,18.122,25.938095238095237
10002050,宜蘭縣,礁溪鄉,3.2741666666666664,15.742058823529412,0.8598299873394827,17.09,,,,15.810902777777777,23.14
10002060,宜蘭縣,壯圍鄉,3.7553645833333333,15.742058823529412,0.8931630134997822,20.4,,,,13.510625,
10002070,宜蘭縣,員山鄉,3.471875,15.742058823529412,0.90755873340143,,,,,14.912115384615383,
10002080,宜蘭縣,冬山鄉,3.265364583333333,15.742058823529412,0.8712262729737873,19.281666666666666,,,,14.633382352941176,19.53
10002090,宜蘭縣,五結鄉,3.2138020833333334,15.742058823529412,0.8713144733895648,11.041875,,,,14.737941176470589,15.456666666666669
10002100,宜蘭縣,三星鄉,3.34859375,15.742058823529412,0.9069480819596364,,,,,14.771944444444443,
10002110,宜蘭縣,大同鄉,4.336666666666667,15.742058823529412,0.8030523255813954,,,,,,
