"資料期別","縣市","鄉鎮市區","設有戶籍住宅之平均人口數"
"098Q1","全國","",4.25
"098Q1","新北市","",3.40
"098Q1","新北市","板橋區",3.48
"098Q1","新北市","三重區",3.45
"098Q1","新北市","中和區",3.18
"098Q1","新北市","永和區",3.27
"098Q1","新北市","新莊區",3.54
"098Q1","新北市","新店區",3.06
"098Q1","新北市","樹林區",3.68
"098Q1","新北市","鶯歌區",3.93
"098Q1","新北市","三峽區",3.69
"098Q1","新北市","淡水區",3.02
"098Q1","新北市","汐止區",2.81
"098Q1","新北市","瑞芳區",3.51
"098Q1","新北市","土城區",3.53
"098Q1","新北市","蘆洲區",3.62
"098Q1","新北市","五股區",3.62
"098Q1","新北市","泰山區",3.44
"098Q1","新北市","林口區",3.63
"098Q1","新北市","深坑區",3.20
"098Q1","新北市","石碇區",3.56
"098Q1","新北市","坪林區",3.92
"098Q1","新北市","三芝區",3.48
"098Q1","新北市","石門區",5.36
"098Q1","新北市","八里區",3.61
"098Q1","新北市","平溪區",3.36
"098Q1","新北市","雙溪區",4.08
"098Q1","新北市","貢寮區",5.11
"098Q1","新北市","金山區",4.45
"098Q1","新北市","萬里區",4.23
"098Q1","新北市","烏來區",5.17
"098Q1","台北市","",3.59
"098Q1","台北市","松山區",3.65
"098Q1","台北市","信義區",3.46
"098Q1","台北市","大安區",3.61
"098Q1","台北市","中山區",3.13
"098Q1","台北市","中正區",3.71
"098Q1","台北市","大同區",3.66
"098Q1","台北市","萬華區",3.45
"098Q1","台北市","文山區",3.54
"098Q1","台北市","南港區",3.70
"098Q1","台北市","內湖區",3.64
"098Q1","台北市","士林區",3.79
"098Q1","台北市","北投區",3.80
"098Q1","桃園市","",3.71
"098Q1","桃園市","桃園區",3.42
"098Q1","桃園市","中壢區",3.58
"098Q1","桃園市","平鎮區",3.79
"098Q1","桃園市","八德區",3.80
"098Q1","桃園市","楊梅區",3.80
"098Q1","桃園市","大溪區",4.00
"098Q1","桃園市","蘆竹區",3.57
"098Q1","桃園市","大園區",4.51
"098Q1","桃園市","龜山區",3.36
"098Q1","桃園市","龍潭區",3.82
"098Q1","桃園市","新屋區",5.51
"098Q1","桃園市","觀音區",4.85
"098Q1","桃園市","復興區",4.28
"098Q1","台中市","",3.52
"098Q1","台中市","中區",5.26
"098Q1","台中市","東區",3.66
"098Q1","台中市","南區",3.26
"098Q1","台中市","西區",3.46
"098Q1","台中市","北區",3.35
"098Q1","台中市","西屯區",3.51
"098Q1","台中市","南屯區",3.56
"098Q1","台中市","北屯區",3.63
"098Q1","台南市","",3.60
"098Q1","台南市","東區",3.51
"098Q1","台南市","南區",3.68
"098Q1","台南市","北區",3.38
"098Q1","台南市","安南區",4.12
"098Q1","台南市","安平區",3.28
"098Q1","台南市","中西區",3.37
"098Q1","高雄市","",3.40
"098Q1","高雄市","鹽埕區",3.29
"098Q1","高雄市","鼓山區",3.17
"098Q1","高雄市","左營區",3.21
"098Q1","高雄市","楠梓區",3.44
"098Q1","高雄市","三民區",3.43
"098Q1","高雄市","新興區",3.11
"098Q1","高雄市","前金區",2.91
"098Q1","高雄市","苓雅區",3.34
"098Q1","高雄市","前鎮區",3.45
"098Q1","高雄市","旗津區",4.45
"098Q1","高雄市","小港區",3.97
"098Q1","宜蘭縣","",3.88
"098Q1","宜蘭縣","宜蘭市",3.61
"098Q1","宜蘭縣","羅東鎮",3.79
"098Q1","宜蘭縣","蘇澳鎮",4.06
"098Q1","宜蘭縣","頭城鎮",4.28
"098Q1","宜蘭縣","礁溪鄉",3.98
"098Q1","宜蘭縣","壯圍鄉",4.41
"098Q1","宜蘭縣","員山鄉",3.99
"098Q1","宜蘭縣","冬山鄉",3.68
"098Q1","宜蘭縣","五結鄉",3.72
"098Q1","宜蘭縣","三星鄉",3.97
"098Q1","宜蘭縣","大同鄉",4.69
"098Q1","宜蘭縣","南澳鄉",5.69
"098Q1","新竹縣","",4.14
"098Q1","新竹縣","竹北市",3.68
"098Q1","新竹縣","關西鎮",5.31
"098Q1","新竹縣","新埔鎮",4.73
"098Q1","新竹縣","竹東鎮",3.99
"098Q1","新竹縣","湖口鄉",4.17
"098Q1","新竹縣","橫山鄉",4.57
"098Q1","新竹縣","新豐鄉",4.37
"098Q1","新竹縣","芎林鄉",4.53
"098Q1","新竹縣","寶山鄉",3.73
"098Q1","新竹縣","北埔鄉",5.00
"098Q1","新竹縣","峨眉鄉",5.28
"098Q1","新竹縣","尖石鄉",4.15
"098Q1","新竹縣","五峰鄉",4.21
"098Q1","苗栗縣","",4.40
"098Q1","苗栗縣","苗栗市",3.75
"098Q1","苗栗縣","苑裡鎮",5.02
"098Q1","苗栗縣","通霄鎮",5.31
"098Q1","苗栗縣","竹南鎮",4.06
"098Q1","苗栗縣","頭份鎮",4.01
"098Q1","苗栗縣","後龍鎮",5.07
"098Q1","苗栗縣","卓蘭鎮",5.04
"098Q1","苗栗縣","大湖鄉",4.85
"098Q1","苗栗縣","公館鄉",4.37
"098Q1","苗栗縣","銅鑼鄉",4.72
"098Q1","苗栗縣","南庄鄉",4.68
"098Q1","苗栗縣","頭屋鄉",4.74
"098Q1","苗栗縣","三義鄉",4.69
"098Q1","苗栗縣","西湖鄉",5.88
"098Q1","苗栗縣","造橋鄉",4.71
"098Q1","苗栗縣","三灣鄉",4.71
"098Q1","苗栗縣","獅潭鄉",4.52
"098Q1","苗栗縣","泰安鄉",6.23
"098Q1","彰化縣","",4.98
"098Q1","彰化縣","彰化市",4.08
"098Q1","彰化縣","鹿港鎮",5.15
"098Q1","彰化縣","和美鎮",4.64
"098Q1","彰化縣","北斗鎮",4.33
"098Q1","彰化縣","員林鎮",4.61
"098Q1","彰化縣","溪湖鎮",5.43
"098Q1","彰化縣","田中鎮",4.76
"098Q1","彰化縣","二林鎮",6.21
"098Q1","彰化縣","線西鄉",5.93
"098Q1","彰化縣","伸港鄉",5.51
"098Q1","彰化縣","福興鄉",6.10
"098Q1","彰化縣","秀水鄉",5.22
"098Q1","彰化縣","花壇鄉",4.57
"098Q1","彰化縣","芬園鄉",5.38
