"資料期別","縣市","鄉鎮市區","建物類型","買賣契約價格平均單價"
"098Q4","全國","","",20.56
"098Q4","全國","","公寓",23.18
"098Q4","全國","","別墅",17.27
"098Q4","全國","","套房",54.13
"098Q4","全國","","透天厝",13.27
"098Q4","全國","","電梯大廈",20.79
"098Q4","全國","","樓中樓",18.31
"098Q4","台中市","","",13.16
"098Q4","台中市","","公寓",8.47
"098Q4","台中市","","別墅",19.38
"098Q4","台中市","","套房",11.74
"098Q4","台中市","","透天厝",17.61
"098Q4","台中市","","電梯大廈",12.61
"098Q4","台中市","北屯區","",11.66
"098Q4","台中市","北屯區","公寓",8.31
"098Q4","台中市","北屯區","別墅",15.59
"098Q4","台中市","北屯區","透天厝",16.06
"098Q4","台中市","北屯區","電梯大廈",10.06
"098Q4","台中市","北區","",12.45
"098Q4","台中市","北區","公寓",7.99
"098Q4","台中市","北區","透天厝",18.64
"098Q4","台中市","北區","電梯大廈",12.39
"098Q4","台中市","西屯區","",14.85
"098Q4","台中市","西屯區","公寓",9.91
"098Q4","台中市","西屯區","透天厝",18.66
"098Q4","台中市","西屯區","電梯大廈",14.88
"098Q4","台中市","西區","",14.06
"098Q4","台中市","西區","公寓",8.77
"098Q4","台中市","西區","透天厝",20.74
"098Q4","台中市","西區","電梯大廈",12.46
"098Q4","台中市","東區","",11.44
"098Q4","台中市","東區","透天厝",13.61
"098Q4","台中市","東區","電梯大廈",7.39
"098Q4","台中市","南屯區","",14.26
"098Q4","台中市","南屯區","透天厝",20.16
"098Q4","台中市","南屯區","電梯大廈",13.11
"098Q4","台中市","南區","",10.33
"098Q4","台中市","南區","公寓",7.06
"098Q4","台中市","南區","透天厝",14.99
"098Q4","台中市","南區","電梯大廈",9.48
"098Q4","台中縣","","",10.69
"098Q4","台中縣","","公寓",7.64
"098Q4","台中縣","","別墅",12.32
"098Q4","台中縣","","透天厝",11.71
"098Q4","台中縣","","電梯大廈",9.14
"098Q4","台中縣","大甲鎮","",10.91
"098Q4","台中縣","大甲鎮","透天厝",11.48
"098Q4","台中縣","大肚鄉","",10.25
"098Q4","台中縣","大肚鄉","透天厝",11.01
"098Q4","台中縣","大里市","",11.03
"098Q4","台中縣","大里市","別墅",13.16
"098Q4","台中縣","大里市","透天厝",12.62
"098Q4","台中縣","大里市","電梯大廈",9.62
"098Q4","台中縣","大雅鄉","",10.51
"098Q4","台中縣","大雅鄉","透天厝",11.60
"098Q4","台中縣","大雅鄉","電梯大廈",8.29
