TOWNCODE,COUNTYNAME,TOWNNAME,地面型_1瓩以上_加成後FIT（元/度）,屋頂型_100瓩以上不及500瓩_加成後FIT（元/度）,屋頂型_10瓩以上不及20瓩_加成後FIT（元/度）,屋頂型_1瓩以上不及10瓩_加成後FIT（元/度）,屋頂型_20瓩以上不及50瓩_加成後FIT（元/度）,屋頂型_500瓩以上_加成後FIT（元/度）,屋頂型_50瓩以上不及100瓩_加成後FIT（元/度）,水面型_1瓩以上_加成後FIT（元/度）
9007010,連江縣,南竿鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9007020,連江縣,北竿鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9007030,連江縣,莒光鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9007040,連江縣,東引鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9020010,金門縣,金城鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9020020,金門縣,金沙鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9020030,金門縣,金湖鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9020040,金門縣,金寧鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9020050,金門縣,烈嶼鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
9020060,金門縣,烏坵鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002010,宜蘭縣,宜蘭市,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002020,宜蘭縣,羅東鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002030,宜蘭縣,蘇澳鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002040,宜蘭縣,頭城鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002050,宜蘭縣,礁溪鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002060,宜蘭縣,壯圍鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002070,宜蘭縣,員山鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002080,宜蘭縣,冬山鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002090,宜蘭縣,五結鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002100,宜蘭縣,三星鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002110,宜蘭縣,大同鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10002120,宜蘭縣,南澳鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004010,新竹縣,竹北市,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004020,新竹縣,竹東鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004030,新竹縣,新埔鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004040,新竹縣,關西鎮,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004050,新竹縣,湖口鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004060,新竹縣,新豐鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004070,新竹縣,芎林鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004080,新竹縣,橫山鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004090,新竹縣,北埔鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004100,新竹縣,寶山鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004110,新竹縣,峨眉鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004120,新竹縣,尖石鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10004130,新竹縣,五峰鄉,4.397411111111111,4.5981,6.497683333333333,6.577427777777777,5.050472222222222,4.522788888888889,4.975094444444444,4.850327777777778
10005010,苗栗縣,苗栗市,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005020,苗栗縣,苑裡鎮,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005030,苗栗縣,通霄鎮,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005040,苗栗縣,竹南鎮,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005050,苗栗縣,頭份市,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005060,苗栗縣,後龍鎮,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005070,苗栗縣,卓蘭鎮,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005080,苗栗縣,大湖鄉,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005090,苗栗縣,公館鄉,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005100,苗栗縣,銅鑼鄉,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
10005110,苗栗縣,南庄鄉,4.262261111111111,4.456933333333333,6.307794444444444,6.387538888888888,4.901122222222223,4.385611111111111,4.825744444444444,4.7020333333333335
