年月,縣市,用電性質,售電量(度),用電佔比(%),,
11503,新北市,住宅,635678546,40.96,,
11503,新北市,服務業,"472,632,020",30.45,,
11503,新北市,農林漁牧,1740185,0.11,,
11503,新北市,工業,441983064,28.48,,
11503,台北市,住宅,378836533,35.44,,
11503,台北市,服務業,"651,924,996",60.98,,
11503,台北市,農林漁牧,143379,0.01,,
11503,台北市,工業,38126438,3.57,,
11503,桃園市,住宅,399231907,17.24,,
11503,桃園市,服務業,"336,747,352",14.54,,
11503,桃園市,農林漁牧,4163922,0.18,,
11503,桃園市,工業,1576190721,68.05,,
11503,台中市,住宅,466781931,17.21,,
11503,台中市,服務業,"417,742,741",15.4,,
11503,台中市,農林漁牧,11579748,0.43,,
11503,台中市,工業,1815676154,66.96,,
11503,台南市,住宅,299855397,11.47,,
11503,台南市,服務業,"228,818,430",8.75,,
11503,台南市,農林漁牧,33479396,1.28,,
11503,台南市,工業,2052453784,78.5,,
11503,高雄市,住宅,451819971,17.96,,
11503,高雄市,服務業,"399,255,733",15.87,,
11503,高雄市,農林漁牧,21025273,0.84,,
11503,高雄市,工業,1643903106,65.34,,
11503,宜蘭縣,住宅,72728367,28.22,,
11503,宜蘭縣,服務業,"61,584,204",23.9,,
11503,宜蘭縣,農林漁牧,4858802,1.89,,
11503,宜蘭縣,工業,118517849,45.99,,
11503,新竹縣,住宅,105978928,10.35,,
11503,新竹縣,服務業,"75,813,309",7.4,,
11503,新竹縣,農林漁牧,1734960,0.17,,
11503,新竹縣,工業,840746358,82.08,,
11503,苗栗縣,住宅,87479896,14.2,,
11503,苗栗縣,服務業,"51,786,012",8.4,,
11503,苗栗縣,農林漁牧,2538386,0.41,,
11503,苗栗縣,工業,474366999,76.99,,
11503,彰化縣,住宅,188481197,20.55,,
11503,彰化縣,服務業,"220,609,436",24.05,,
11503,彰化縣,農林漁牧,36798427,4.01,,
11503,彰化縣,工業,471216673,51.38,,
11503,南投縣,住宅,66309583,30.13,,
11503,南投縣,服務業,"48,337,773",21.96,,
11503,南投縣,農林漁牧,9546887,4.34,,
11503,南投縣,工業,95913396,43.58,,
11503,雲林縣,住宅,108464663,23.99,,
11503,雲林縣,服務業,"61,043,420",13.5,,
11503,雲林縣,農林漁牧,35615069,7.88,,
11503,雲林縣,工業,246978900,54.63,,
11503,嘉義縣,住宅,76187387,28.55,,
11503,嘉義縣,服務業,"40,502,514",15.18,,
11503,嘉義縣,農林漁牧,22110203,8.29,,
11503,嘉義縣,工業,128049752,47.99,,
11503,屏東縣,住宅,125017074,32.54,,
11503,屏東縣,服務業,"88,517,863",23.04,,
11503,屏東縣,農林漁牧,63393584,16.5,,
