民國年,西元年,縣市,失業率
102,2013,南投縣,4.3
102,2013,嘉義市,3.9
102,2013,嘉義縣,4.1
102,2013,基隆市,4.2
102,2013,宜蘭縣,4.3
102,2013,屏東縣,4.1
102,2013,彰化縣,4.0
102,2013,新北市,4.2
102,2013,新竹市,4.1
102,2013,新竹縣,4.0
102,2013,桃園市,4.3
102,2013,澎湖縣,4.0
102,2013,臺中市,4.1
102,2013,臺北市,4.2
102,2013,臺南市,4.2
102,2013,臺東縣,4.1
102,2013,花蓮縣,4.1
102,2013,苗栗縣,4.2
102,2013,連江縣,0.3
102,2013,金門縣,1.6
102,2013,雲林縣,4.2
102,2013,高雄市,4.2
103,2014,南投縣,4.0
103,2014,嘉義市,3.7
103,2014,嘉義縣,3.9
103,2014,基隆市,4.0
103,2014,宜蘭縣,3.9
103,2014,屏東縣,3.9
103,2014,彰化縣,3.9
103,2014,新北市,3.9
103,2014,新竹市,3.9
103,2014,新竹縣,3.9
103,2014,桃園市,4.0
103,2014,澎湖縣,3.9
103,2014,臺中市,3.9
103,2014,臺北市,4.0
103,2014,臺南市,4.1
103,2014,臺東縣,3.9
103,2014,花蓮縣,3.8
103,2014,苗栗縣,4.1
103,2014,連江縣,0.3
103,2014,金門縣,1.0
103,2014,雲林縣,3.9
103,2014,高雄市,3.9
104,2015,南投縣,3.8
104,2015,嘉義市,3.5
104,2015,嘉義縣,3.8
104,2015,基隆市,3.9
104,2015,宜蘭縣,3.9
104,2015,屏東縣,3.8
104,2015,彰化縣,3.7
104,2015,新北市,3.7
104,2015,新竹市,3.9
104,2015,新竹縣,3.7
104,2015,桃園市,3.9
104,2015,澎湖縣,3.7
104,2015,臺中市,3.8
104,2015,臺北市,3.8
104,2015,臺南市,3.8
104,2015,臺東縣,3.7
104,2015,花蓮縣,3.7
104,2015,苗栗縣,3.8
104,2015,連江縣,0.9
104,2015,金門縣,1.2
104,2015,雲林縣,3.8
104,2015,高雄市,3.8
105,2016,南投縣,3.9
105,2016,嘉義市,3.7
105,2016,嘉義縣,3.9
105,2016,基隆市,4.0
105,2016,宜蘭縣,4.0
105,2016,屏東縣,3.9
105,2016,彰化縣,3.8
105,2016,新北市,3.9
105,2016,新竹市,3.9
105,2016,新竹縣,3.9
105,2016,桃園市,4.0
105,2016,澎湖縣,3.8
105,2016,臺中市,3.8
105,2016,臺北市,3.9
105,2016,臺南市,3.9
105,2016,臺東縣,3.9
105,2016,花蓮縣,3.9
105,2016,苗栗縣,3.9
105,2016,連江縣,0.7
105,2016,金門縣,1.3
105,2016,雲林縣,3.8
105,2016,高雄市,4.0
106,2017,南投縣,3.7
106,2017,嘉義市,3.7
106,2017,嘉義縣,3.8
106,2017,基隆市,3.8
106,2017,宜蘭縣,3.8
106,2017,屏東縣,3.9
106,2017,彰化縣,3.6
106,2017,新北市,3.8
106,2017,新竹市,3.8
106,2017,新竹縣,3.7
106,2017,桃園市,3.9
106,2017,澎湖縣,3.7
106,2017,臺中市,3.7
106,2017,臺北市,3.8
106,2017,臺南市,3.8
106,2017,臺東縣,3.5
