feature,stage1_shap,stage2_shap,rank_stage1,rank_stage2
total_area,0.03561981559144822,0.036417662759570577,1,14
population_density,0.03553424078862473,0.14874865992949188,2,3
education_bachelor,0.02677683116305867,0.006689380377081243,3,39
population,0.02114157122912422,0.008525589809476455,4,35
heating_fuel_coal_coke_rate,0.01979581218085316,0.014441347602553766,5,26
daily_solar_radiation,0.019123641211886887,0.055128189272915434,6,9
housing_unit_median_value,0.01415638991707039,0.054226469118727506,7,10
education_college,0.012939503866150108,0.012639000145239,8,28
relative_humidity,0.01215446414609631,0.44831003014534493,9,1
electricity_consume_total,0.012042548142426154,0.017839570447389916,10,20
electricity_price_industrial,0.011667404879677623,0.24885371869998132,11,2
education_professional_school,0.010479466224532387,0.002324409535661343,12,86
housing_unit_median_gross_rent,0.010293168381738247,0.031835242208166685,13,16
heating_fuel_gas,0.009905293481127312,0.062376197323201286,14,6
occupancy_vacant_rate,0.00890841454663974,0.008277669153678762,15,37
travel_time_average,0.008784760535482265,0.00861056732555354,16,34
incentive_count_residential,0.008481112850663865,0.03304451204864552,17,15
travel_time_less_than_10_rate,0.008255209801168914,0.005858503691840845,18,42
education_doctoral,0.008202038829439068,0.003221750785904819,19,81
education_high_school_graduate_rate,0.007550087504798743,0.003809951083569755,20,73
sales_tax,0.007297583594516027,0.04050788206193555,21,13
education_high_school_graduate,0.007231805832156247,0.048252890770744274,22,11
education_bachelor_rate,0.007204781186456111,0.0032873465765172858,23,79
heating_fuel_electricity,0.006970777263489389,0.028940505805225954,24,18
water_area,0.006388594228165222,0.003952057684326203,25,68
travel_time_10_19_rate,0.006224176970755716,0.00478577766439667,26,54
diversity,0.006183084740339324,0.012474900061919453,27,29
median_household_income,0.006179358786998193,0.04258637821629304,28,12
travel_time_40_59_rate,0.006161543727845517,0.0049903463692318965,29,49
electricity_price_commercial,0.005945928944660239,0.011227058054556021,30,32
incentive_residential_state_level,0.0059062473059308335,0.08792773180905687,31,5
transportation_public_rate,0.005357516866830598,0.008155609109926751,32,38
occupation_agriculture_rate,0.005313959391183894,0.005615035353547937,33,43
health_insurance_public_rate,0.004882446629920184,0.004837658669765855,34,51
transportation_car_alone_rate,0.004810350839744859,0.006143135166222919,35,40
atmospheric_pressure,0.004771349239882616,0.014327022664003146,36,27
occupancy_owner_rate,0.004609532922465628,0.05937743414029787,37,7
mortgage_with_rate,0.004347016817309127,0.015006341560552782,38,24
travel_time_60_89_rate,0.004304420381124802,0.005199667528108772,39,47
household_type_family_rate,0.004285205392667866,0.0247508262706122,40,19
age_median,0.004168257906801937,0.004740976765253621,41,55
poverty_family_below_poverty_level_rate,0.004167551131710972,0.003383955703867455,42,77
heating_fuel_gas_rate,0.004150247871810905,0.015660777923075533,43,23
education_less_than_high_school_rate,0.004125561947425095,0.0035003578462939103,44,74
age_55_64_rate,0.004066367473613443,0.00394675027242446,45,69
age_65_74_rate,0.0040354170831516925,0.005263810569683598,46,45
employ_rate,0.00400265593914139,0.003388905227501574,47,76
travel_time_30_39_rate,0.003921582942267879,0.004790214183944835,48,53
education_less_than_high_school,0.0038573605585417673,0.0034546243131904,49,75
frost_days,0.0038364457477701123,0.12898552976248132,50,4
health_insurance_none_rate,0.0037687857008652363,0.005350969654772553,51,44
education_professional_school_rate,0.003567280529355722,0.003999083164551112,52,66
earth_temperature_amplitude,0.0035579622209678534,0.01753406106664586,53,21
age_more_than_85_rate,0.0033771987589358027,0.003821138686687653,54,72
occupation_construction_rate,0.003369322648358864,0.00388092001360979,55,71
occupation_finance_rate,0.003356332302777915,0.004515733091766828,56,61
education_college_rate,0.0033179624282444124,0.004735282958294627,57,56
cooling_design_temperature,0.003290991300985607,0.011556888334533662,58,30
poverty_family_below_poverty_level,0.0032650914385008497,0.004632306628967523,59,58
transportation_home_rate,0.00322599170695803,0.005076723535407563,60,48
occupation_arts_rate,0.0032238946083543185,0.006044576117223117,61,41
age_10_14_rate,0.003206021663936058,0.004614199547990022,62,59
age_45_54_rate,0.003200841265962663,0.004091052461537305,63,65
gini_index,0.0031304019374285043,0.004582577805520035,64,60
average_household_size,0.0031218348301820897,0.01690134652155853,65,22
occupation_public_rate,0.0031151394575072737,0.004930940697024547,66,50
electricity_consume_residential,0.0030445274071953885,0.030084153241613443,67,17
age_35_44_rate,0.002975006893468104,0.004727646734441587,68,57
occupation_information_rate,0.0029641366126808427,0.003261081524427847,69,80
occupation_transportation_rate,0.0029427591655053088,0.005258311769112577,70,46
occupation_retail_rate,0.0029079859822140793,0.003967001668306926,71,67
age_15_17_rate,0.002882427772504425,0.0033795892391734394,72,78
heating_fuel_fuel_oil_kerosene_rate,0.002868593048644432,0.008450092694047602,73,36
age_5_9_rate,0.0028644659603443198,0.004332800537308574,74,64
occupation_education_rate,0.002862347203154617,0.004444054650290269,75,62
transportation_bicycle_rate,0.0028068877897512094,0.004791996552837278,76,52
occupation_wholesale_rate,0.0027172769681960097,0.004360336392824192,77,63
wind_speed,0.0022880133291843193,0.011523833805725895,78,31
heating_fuel_other_rate,0.002222662086920479,0.001492417631675342,79,88
electricity_consume_commercial,0.00215517622539914,0.014830428318528491,80,25
property_tax,0.0020785531081195688,0.011073154143863088,81,33
rebate,0.0019331429804027387,0.056165928818295276,82,8
heating_fuel_none,0.0018512912948959893,0.0023533901177966955,83,84
dropout_16_19_inschool_rate,0.0014820460255025945,0.0025847616088473277,84,83
heating_fuel_other,0.0014035557330530075,0.0011219185577798123,85,89
transportation_motorcycle_rate,0.001271359035545508,0.002326325038948766,86,85
feedin_tariff,0.0011289930831186326,0.00032866010526524817,87,90
heating_fuel_solar,0.0003269859293634616,0.0023204832483649813,88,87
heating_fuel_solar_rate,0.000285954101153161,0.00312951279710329,89,82
cooperate_tax,0.00017574026649264435,0.0039009175083338844,90,70
