priority_rank,TOWNCODE,COUNTYNAME,TOWNNAME,topsis_score,combined_score,daily_solar_radiation,occupancy_owner_rate,log_median_household_income,median_household_income,avg_fit_rate,education_college_rate,employ_rate,housing_unit_median_value,stage1_prob,stage2_density_pred
1,10013080,屏東縣,九如鄉,0.8724522995431163,2.8399364877045543,4.7081038914690785,0.8601667735728031,5.975297827220004,393.58530405405406,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8731253063401626,8.512535365767521
2,10013050,屏東縣,萬丹鄉,0.8718521082583129,2.814384768898207,4.7081038914690785,0.8797113633179207,6.007011635748062,406.2674293536717,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8751755047297058,8.168692778473272
3,67000290,臺南市,關廟區,0.8558006746473075,2.8068463840921365,4.7081038914690785,0.8571989015300118,5.913987460314836,370.17929165616334,4.507530555555555,0.3991653478031502,0.9620833333333332,15.76220588235294,0.8604379512564913,8.603365865827982
4,64000170,高雄市,仁武區,0.8545617602423148,2.781526479617363,4.7081038914690785,0.8170497772864713,6.108849524308795,449.8209093416335,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8624221683074895,8.255789823539496
5,64000140,高雄市,大寮區,0.8540983067508522,2.8147099128456605,4.7081038914690785,0.8184615384615385,5.92306697497613,373.5556445902128,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8720990636773289,8.276753790292865
6,10013090,屏東縣,里港鄉,0.8535254259728252,2.786329146057114,4.7081038914690785,0.8664837677183356,5.985254706724517,397.5237603305785,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8571144480564271,8.495567228634249
7,64000230,高雄市,阿蓮區,0.8533576771389892,2.803478400829055,4.7081038914690785,0.874890350877193,5.884906930798962,359.56930161166537,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8545794558572549,8.781919036109768
8,10013060,屏東縣,長治鄉,0.8530772356725619,2.78220057542819,4.7081038914690785,0.8468230371104504,6.0350803098396,417.8323643410853,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8695177440021913,8.022354650438787
9,10013170,屏東縣,新園鄉,0.8507278904052913,2.7989282088501057,4.7081038914690785,0.8262600757502185,5.944542539499082,381.6647248198682,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8675668252294694,8.264424041380046
10,64000130,高雄市,林園區,0.8456784866539008,2.799270674343661,4.7081038914690785,0.7677738127916552,6.003799129149088,404.964386693136,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.87487825385947,8.021509532077818
11,64000160,高雄市,大社區,0.8454221089603311,2.7917630880686435,4.7081038914690785,0.80281579976535,5.969589063404261,391.3448197943735,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8629885430504146,8.346429339154078
12,64000180,高雄市,鳥松區,0.8448732150509308,2.7737567031657377,4.7081038914690785,0.7447290053603335,6.252736762771775,519.4324445775914,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8639974489895667,8.119144851551033
13,10013190,屏東縣,林邊鄉,0.8439018904840286,2.7821867138278127,4.7081038914690785,0.8120967741935484,5.996787592012862,402.13489499192247,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8799080194744427,7.6876832494179155
14,10013140,屏東縣,竹田鄉,0.8418118613042183,2.776717790143023,4.7081038914690785,0.8452060069310743,5.958080764115201,386.866922395987,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8568020668271795,8.400779308684248
15,10013120,屏東縣,萬巒鄉,0.8390329608514243,2.769765783923123,4.7081038914690785,0.8400726192440997,5.988253431079836,398.7176136363637,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8594225911104061,8.233347964268878
16,10013010,屏東縣,屏東市,0.8377950798961602,2.7674622583802195,4.7081038914690785,0.794003491710794,6.080770775718185,437.36617606165333,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8754629786908258,7.681040468872139
17,64000150,高雄市,大樹區,0.8377280300229484,2.7725903109252195,4.7081038914690785,0.8574674341108754,5.927978938556289,375.3950501598501,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.86069478123231,8.219674649260174
18,64000110,高雄市,小港區,0.831406332233673,2.7695684541185543,4.7081038914690785,0.756386470672185,6.075042352055199,434.86791967646167,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8691419485336345,7.904482548332111
19,64000200,高雄市,橋頭區,0.8280772239681596,2.7485189773660843,4.7081038914690785,0.825142945448926,6.086532755673548,439.8935455349248,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8572037959422679,8.082754588025432
20,64000210,高雄市,燕巢區,0.8274277375088209,2.7827509738060616,4.7081038914690785,0.7599534758879842,5.915512447498399,370.7442409923213,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8527422785086834,8.614732859439282
21,10013200,屏東縣,南州鄉,0.8221008575658897,2.7441807709014356,4.7081038914690785,0.8579142760715491,6.004319397756911,405.1751317680882,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8607889250907568,7.917212176186664
22,64000190,高雄市,岡山區,0.8186216796038839,2.744372350884534,4.7081038914690785,0.820793564656686,6.020062892434983,411.60448172074587,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8549585480229193,8.115240997575446
23,10013070,屏東縣,麟洛鄉,0.8171919933952123,2.7312984559855487,4.7081038914690785,0.8901230861603122,6.049870227707175,424.0579954954955,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.864856935358604,7.654615778912328
24,64000270,高雄市,永安區,0.8164966778254451,2.7902945364532585,4.7081038914690785,0.7069062324536777,5.865352230217728,352.6063328424153,4.507530555555555,0.4110105763478114,0.9624166666666666,18.314852941176472,0.8593660695983162,8.45857681201713
25,10013030,屏東縣,東港鎮,0.8159307155701037,2.749047726890492,4.7081038914690785,0.7925657803146318,5.99169507639477,400.0922223442821,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.864373879334635,7.84977424052192
26,10013180,屏東縣,崁頂鄉,0.8142050390405364,2.751849168500294,4.7081038914690785,0.7855160932297447,5.956300265931841,386.17871939736347,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.853648409436347,8.240841777343585
27,10013160,屏東縣,枋寮鄉,0.8113929878676442,2.73997122629517,4.7081038914690785,0.825965379494008,5.967271588430863,390.4389380530974,4.507530555555555,0.2912175523351903,0.96225,12.388088235294118,0.8607859194712347,7.873809120534344
