priority_rank,TOWNCODE,COUNTYNAME,TOWNNAME,topsis_score
1,10013080,屏東縣,九如鄉,0.8724522995431163
2,10013050,屏東縣,萬丹鄉,0.8718521082583129
3,67000290,臺南市,關廟區,0.8558006746473075
4,64000170,高雄市,仁武區,0.8545617602423148
5,64000140,高雄市,大寮區,0.8540983067508522
6,10013090,屏東縣,里港鄉,0.8535254259728252
7,64000230,高雄市,阿蓮區,0.8533576771389892
8,10013060,屏東縣,長治鄉,0.8530772356725619
9,10013170,屏東縣,新園鄉,0.8507278904052913
10,64000130,高雄市,林園區,0.8456784866539008
11,64000160,高雄市,大社區,0.8454221089603311
12,64000180,高雄市,鳥松區,0.8448732150509308
13,10013190,屏東縣,林邊鄉,0.8439018904840286
14,10013140,屏東縣,竹田鄉,0.8418118613042183
15,10013120,屏東縣,萬巒鄉,0.8390329608514243
16,10013010,屏東縣,屏東市,0.8377950798961602
17,64000150,高雄市,大樹區,0.8377280300229484
18,64000110,高雄市,小港區,0.831406332233673
19,64000200,高雄市,橋頭區,0.8280772239681596
20,64000210,高雄市,燕巢區,0.8274277375088209
21,10013200,屏東縣,南州鄉,0.8221008575658897
22,64000190,高雄市,岡山區,0.8186216796038839
23,10013070,屏東縣,麟洛鄉,0.8171919933952123
24,64000270,高雄市,永安區,0.8164966778254451
25,10013030,屏東縣,東港鎮,0.8159307155701037
26,10013180,屏東縣,崁頂鄉,0.8142050390405364
27,10013160,屏東縣,枋寮鄉,0.8113929878676442
28,64000300,高雄市,旗山區,0.8110508800037839
29,10013210,屏東縣,佳冬鄉,0.8090271230008138
30,10013020,屏東縣,潮州鎮,0.8069753727598935
31,10016040,澎湖縣,西嶼鄉,0.8064039289162851
32,67000280,臺南市,歸仁區,0.8046353924633719
33,10013100,屏東縣,鹽埔鄉,0.804437432993425
34,67000200,臺南市,新市區,0.7963204650067316
35,64000280,高雄市,彌陀區,0.7892949348224506
36,64000240,高雄市,路竹區,0.7844463658140515
37,64000040,高雄市,楠梓區,0.7843103026821538
38,67000180,臺南市,新化區,0.7832302447852688
39,67000350,臺南市,安南區,0.7827638156682218
40,64000260,高雄市,茄萣區,0.7816230678379216
41,64000090,高雄市,前鎮區,0.7764714783509981
42,64000120,高雄市,鳳山區,0.7696273719786675
43,10013110,屏東縣,高樹鄉,0.7668025784864957
44,67000100,臺南市,官田區,0.7648944815873107
45,66000150,臺中市,后里區,0.762336739848259
46,10013300,屏東縣,來義鄉,0.7619495407715832
47,10013150,屏東縣,新埤鄉,0.7604278081653261
48,64000250,高雄市,湖內區,0.7601343483196207
49,10007160,彰化縣,永靖鄉,0.7566468258151993
50,64000310,高雄市,美濃區,0.7529781747155587
51,67000270,臺南市,仁德區,0.7524945519003905
52,67000140,臺南市,西港區,0.7510872666357086
53,10007210,彰化縣,田尾鄉,0.7507433247717665
54,66000190,臺中市,新社區,0.7499138128476983
55,10005060,苗栗縣,後龍鎮,0.7495870191721254
56,67000310,臺南市,永康區,0.7472562055321085
57,66000200,臺中市,石岡區,0.7467921092118415
58,10007120,彰化縣,田中鎮,0.7456539444784357
59,10013250,屏東縣,枋山鄉,0.7455750117844958
60,10007230,彰化縣,芳苑鄉,0.7433601823825051
61,67000040,臺南市,柳營區,0.7418171104145487
62,10007200,彰化縣,二林鎮,0.7404137715679688
63,67000070,臺南市,麻豆區,0.7397236675046991
64,67000330,臺南市,南區,0.7376790774504863
65,64000350,高雄市,內門區,0.7329362047025338
66,10009100,雲林縣,林內鄉,0.7328135448434097
