feature,importance
total_area,0.05393579216891746
population_density,0.0507983516304859
education_bachelor,0.03732020969610484
heating_fuel_coal_coke_rate,0.02576124129638024
daily_solar_radiation,0.02572166659859129
population,0.02438446774620892
housing_unit_median_value,0.019447809731260878
housing_unit_median_gross_rent,0.018512727910920627
relative_humidity,0.018464143605557343
education_college,0.01772471204121367
electricity_price_industrial,0.017412061626272235
education_high_school_graduate_rate,0.015661750194949465
education_professional_school,0.014623364074789433
education_bachelor_rate,0.014542688244632153
electricity_consume_total,0.014494924394053579
occupancy_vacant_rate,0.014187901437970192
heating_fuel_gas,0.013811703194532532
travel_time_less_than_10_rate,0.013656874885835784
transportation_car_alone_rate,0.01208918586980369
heating_fuel_electricity,0.01199865061985256
education_high_school_graduate,0.011908451525508776
diversity,0.01189446005287343
travel_time_10_19_rate,0.01170302233715217
travel_time_40_59_rate,0.011520186111864238
education_doctoral,0.011387859015865602
median_household_income,0.011360449149432744
water_area,0.01126085649602503
electricity_price_commercial,0.01125660223377734
travel_time_average,0.011217279826823811
transportation_public_rate,0.011046884567622126
health_insurance_public_rate,0.010472484581794384
occupancy_owner_rate,0.010122766277449768
atmospheric_pressure,0.009981616836319948
employ_rate,0.009924045659677187
travel_time_30_39_rate,0.009903299933073387
incentive_count_residential,0.009775194712473272
heating_fuel_gas_rate,0.009737555294037798
household_type_family_rate,0.009617817773700974
mortgage_with_rate,0.009594983042402205
education_less_than_high_school_rate,0.009593746073633287
travel_time_60_89_rate,0.00951201561947888
age_55_64_rate,0.009457928582715462
health_insurance_none_rate,0.009400561589833682
poverty_family_below_poverty_level_rate,0.009301569997519073
occupation_arts_rate,0.009296669922992554
occupation_retail_rate,0.009175679444808191
education_college_rate,0.009063781839511039
gini_index,0.00894687397628189
age_more_than_85_rate,0.008910605688097269
age_median,0.00887887439853556
education_less_than_high_school,0.00886726563486541
age_65_74_rate,0.008856297440136043
occupation_agriculture_rate,0.008805895732393272
transportation_home_rate,0.008805544012511483
frost_days,0.008789708746325597
occupation_public_rate,0.00876614615881444
occupation_transportation_rate,0.008752205958801584
occupation_construction_rate,0.008715790718571497
age_35_44_rate,0.00871518925706198
occupation_education_rate,0.008646252064391565
occupation_finance_rate,0.00860903780490599
earth_temperature_amplitude,0.008589910880919236
age_10_14_rate,0.008576606689977947
age_45_54_rate,0.008552447988604639
age_15_17_rate,0.008458018098730617
age_5_9_rate,0.008352368346763757
cooling_design_temperature,0.008298621108475627
average_household_size,0.008297447710000664
occupation_wholesale_rate,0.008215266890750705
occupation_information_rate,0.007936052231919151
poverty_family_below_poverty_level,0.00774023181070415
education_professional_school_rate,0.007316051702220978
incentive_residential_state_level,0.007161685043706449
sales_tax,0.006815082927825625
heating_fuel_fuel_oil_kerosene_rate,0.006594826274709983
electricity_consume_residential,0.006197783021552608
wind_speed,0.005836728806435702
heating_fuel_other_rate,0.005179399489215858
electricity_consume_commercial,0.005047238590589987
transportation_bicycle_rate,0.004800848335999204
dropout_16_19_inschool_rate,0.00468365849759039
heating_fuel_none,0.0044806002647795615
property_tax,0.004129737057503444
heating_fuel_other,0.003791525944378848
transportation_motorcycle_rate,0.003070719408289413
rebate,0.002502698007976997
feedin_tariff,0.0012660142403861506
heating_fuel_solar_rate,0.000824750135959016
heating_fuel_solar,0.0008065052323825756
cooperate_tax,0.00037349220325794027
