feature_set,n_features,model_family,cv_r2_mean,cv_r2_std,cv_stage1_f1_mean,cv_stage1_f1_std,stage1_accuracy,stage1_f1,stage1_precision,stage1_recall,stage1_roc_auc,stage2_mae_log1p,stage2_rmse_log1p,stage2_r2_log1p,mae_density,rmse_density,r2_density
voted,90,RandomForest,0.08858193539722323,0.07402434914504268,0.8956469376933148,0.0013758703685663048,0.8246484698097601,0.8936632670122053,0.8435921717171717,0.9500533238535371,0.8637422416195079,0.5472558793150679,0.7306521667525456,0.7500964881488537,257.7834051255084,9495.922753479426,0.08518400945341109
voted,90,XGBoost,0.02869570967809796,0.26103240257425175,0.8991592000622944,0.0018562775543373591,0.8345740281224152,0.897251477010018,0.8656038328101767,0.9313011020263064,0.872599225603136,0.5447486226831124,0.7275369992560262,0.752222894575527,256.632244594311,9544.129563034929,0.07587216038277755
voted,90,GradientBoosting,0.10878125450891366,0.10541174764925983,0.8991062571856083,0.0016918799527703022,0.8345051006341329,0.8975726291540463,0.8630732627779145,0.9349448986846782,0.8696762945118793,0.556014910180029,0.7404365999707819,0.7433585726710215,258.09787707319157,9534.157280202644,0.07780232061118353
voted,90,Linear,0.0011875585470666583,0.00161535731172528,0.8283692936031135,0.002055287443781563,0.7545492142266336,0.8255865210363913,0.9195853791598473,0.7490223960184856,0.8460864942601523,0.7426112662524186,1.0061284186359445,0.5261315022139383,278.6698231800595,9926.52591101151,0.0003362080240233434
tree,102,RandomForest,0.09024616964270413,0.084755594378299,0.8954084022442406,0.0009867152086584369,0.8236834849738075,0.893211989646823,0.8422295701464336,0.9507643085673658,0.863594465543008,0.5489514929371104,0.7325758848574776,0.7487788248277812,257.6150803107875,9485.41512153858,0.08720745291002263
tree,102,XGBoost,0.06560633832017622,0.11300067030090089,0.8989425895433072,0.0018294892244929003,0.8321615660325338,0.8958199632054079,0.8637076148832604,0.9304123711340206,0.8714222576647035,0.5424385537887916,0.7262771514635402,0.7530802837135298,256.2824335726565,9417.744125863735,0.10018511197246271
tree,102,GradientBoosting,0.08949789922379406,0.14369118429664798,0.8995214151758303,0.001788671454071059,0.8342293906810035,0.8974282424190728,0.862730627306273,0.9350337717739069,0.8709154681537368,0.554624838442222,0.7386554785345515,0.7445917903665842,254.20254279791556,9588.514161578403,0.06725693424519907
tree,102,Linear,0.017155746947462323,0.016601872944493116,0.8291327029545673,0.0021108010490419127,0.7565481113868211,0.827066196631414,0.9208460532054078,0.7506221116246,0.8469473840741171,0.7428515390768734,0.9858718804634216,0.5450203571906244,278.76201161668376,9879.322833536113,0.009820898729073768
vif,55,RandomForest,0.08733001027565772,0.10635077255526015,0.8951048318445588,0.001502652930934355,0.822718500137855,0.8927886619424761,0.8407128277594599,0.9517419125488802,0.8603937651051499,0.5748363474654401,0.7656157325629148,0.7256072043979304,260.04447323672144,9584.069915604821,0.06812138078376206
vif,55,XGBoost,-0.7934720491887327,2.5229929416823946,0.8979582793378649,0.0015311987507257549,0.8316790736145575,0.8958724202626641,0.8610655737704918,0.9336118023462495,0.8695672093456931,0.5787381317542968,0.7658456532756107,0.7254423748171079,255.90931665737466,9399.291331488828,0.10370778834604699
vif,55,GradientBoosting,0.038086976386665895,0.2474628647802062,0.8985768821549438,0.0018843928523678954,0.830300523848911,0.8951983654009875,0.8590686274509803,0.9345005332385353,0.8672024509320102,0.5882699983451309,0.7772803428927852,0.7171824370650237,256.2401483820518,9518.87512649151,0.08075630414948953
vif,55,Linear,-0.00025415065032589055,0.0006107708731671404,0.8219606298270413,0.002498904120536882,0.7488971601874828,0.821500318486942,0.9154745003822212,0.7450231070031994,0.8372872668664527,0.8246957044247645,1.1079349837222465,0.4253815615762391,280.62239853525097,9930.963943320967,-0.0005578675084412232
