feature,lasso,enet,rf,vote_count
atmospheric_pressure,True,True,True,3
cooling_design_temperature,True,True,True,3
daily_solar_radiation,True,True,True,3
education_college,True,True,True,3
education_professional_school,True,True,True,3
electricity_consume_residential,True,True,True,3
electricity_consume_total,True,True,True,3
electricity_price_commercial,True,True,True,3
electricity_price_industrial,True,True,True,3
frost_days,True,True,True,3
heating_fuel_coal_coke_rate,True,True,True,3
heating_fuel_gas,True,True,True,3
housing_unit_median_gross_rent,True,True,True,3
housing_unit_median_value,True,True,True,3
incentive_count_residential,True,True,True,3
incentive_residential_state_level,True,True,True,3
median_household_income,True,True,True,3
mortgage_with_rate,True,True,True,3
occupancy_owner_rate,True,True,True,3
occupancy_vacant_rate,True,True,True,3
population,True,True,True,3
population_density,True,True,True,3
relative_humidity,True,True,True,3
sales_tax,True,True,True,3
total_area,True,True,True,3
transportation_car_alone_rate,True,True,True,3
age_10_14_rate,True,True,False,2
age_15_17_rate,True,True,False,2
age_35_44_rate,True,True,False,2
age_45_54_rate,True,True,False,2
age_55_64_rate,True,True,False,2
age_5_9_rate,True,True,False,2
age_65_74_rate,True,True,False,2
age_median,True,True,False,2
age_more_than_85_rate,True,True,False,2
average_household_size,True,True,False,2
cooperate_tax,True,True,False,2
diversity,True,True,False,2
dropout_16_19_inschool_rate,True,True,False,2
earth_temperature_amplitude,True,True,False,2
education_bachelor,False,True,True,2
education_bachelor_rate,False,True,True,2
education_college_rate,True,True,False,2
education_doctoral,True,True,False,2
education_high_school_graduate,True,True,False,2
education_high_school_graduate_rate,True,True,False,2
education_less_than_high_school,True,True,False,2
education_less_than_high_school_rate,True,True,False,2
education_professional_school_rate,True,True,False,2
electricity_consume_commercial,True,True,False,2
employ_rate,True,True,False,2
feedin_tariff,True,True,False,2
gini_index,True,True,False,2
health_insurance_none_rate,True,True,False,2
health_insurance_public_rate,True,True,False,2
heating_fuel_electricity,True,True,False,2
heating_fuel_fuel_oil_kerosene_rate,True,True,False,2
heating_fuel_gas_rate,True,True,False,2
heating_fuel_none,True,True,False,2
heating_fuel_other,True,True,False,2
heating_fuel_other_rate,True,True,False,2
heating_fuel_solar,True,True,False,2
heating_fuel_solar_rate,True,True,False,2
household_type_family_rate,True,True,False,2
occupation_agriculture_rate,True,True,False,2
occupation_arts_rate,True,True,False,2
occupation_construction_rate,True,True,False,2
occupation_education_rate,True,True,False,2
occupation_finance_rate,True,True,False,2
occupation_information_rate,True,True,False,2
occupation_public_rate,True,True,False,2
occupation_retail_rate,True,True,False,2
occupation_transportation_rate,True,True,False,2
occupation_wholesale_rate,True,True,False,2
poverty_family_below_poverty_level,True,True,False,2
poverty_family_below_poverty_level_rate,True,True,False,2
property_tax,True,True,False,2
rebate,True,True,False,2
transportation_bicycle_rate,True,True,False,2
transportation_home_rate,True,True,False,2
transportation_motorcycle_rate,True,True,False,2
transportation_public_rate,True,True,False,2
travel_time_10_19_rate,True,True,False,2
travel_time_30_39_rate,True,True,False,2
travel_time_40_59_rate,True,True,False,2
travel_time_60_89_rate,True,True,False,2
travel_time_average,True,True,False,2
travel_time_less_than_10_rate,False,True,True,2
water_area,True,True,False,2
wind_speed,True,True,False,2
age_25_34_rate,False,True,False,1
age_75_84_rate,False,True,False,1
education_doctoral_rate,False,True,False,1
heating_fuel_electricity_rate,False,True,False,1
net_metering,False,True,False,1
occupation_administrative_rate,False,True,False,1
occupation_manufacturing_rate,False,True,False,1
transportation_carpool_rate,False,True,False,1
unemployed,False,True,False,1
age_18_24_rate,False,False,False,0
transportation_walk_rate,False,False,False,0
travel_time_20_29_rate,False,False,False,0
